Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HC,AC,HY,AY,HR,AR
E0,12/09/2026,15:00,Arsenal,Chelsea,2,1,H,1,0,H,12,8,6,3,1,2,0,0
E0,13/09/2026,15:00,Liverpool,Everton,1,0,H,0,0,D,10,6,5,2,1,1,0,0
E0,19/09/2026,15:00,Manchester United,Arsenal,2,0,H,1,0,H,14,7,7,2,0,1,0,0
E0,20/09/2026,15:00,Manchester United,Chelsea,1,1,D,0,1,A,9,10,4,5,2,2,0,0
E0,26/09/2026,15:00,Paris Saint-Germain,Marseille,3,1,H,2,0,H,15,5,8,1,1,3,0,0
E0,27/09/2026,15:00,Paris Saint-Germain,Lyon,2,2,D,1,1,D,11,9,5,4,2,2,0,0
E0,03/10/2026,15:00,West Ham United,Tottenham Hotspur,1,2,A,0,1,A,8,13,3,7,2,1,0,0
E0,04/10/2026,15:00,Newcastle United,Everton,1,1,D,1,0,H,10,9,6,4,1,1,0,0
E0,10/10/2026,15:00,Brighton,Sunderland,2,0,H,1,0,H,13,4,5,2,0,1,0,0
E0,11/10/2026,15:00,Manchester City,Arsenal,2,2,D,1,1,D,12,11,6,6,1,1,0,0
E0,17/10/2026,15:00,Galatasaray,Fenerbahce,2,1,H,1,0,H,11,8,5,3,2,3,0,0
E0,18/10/2026,15:00,Besiktas,Trabzonspor,1,1,D,0,1,A,9,10,4,4,1,2,0,0
E0,24/10/2026,15:00,United FC,Arsenal,0,1,A,0,0,D,5,12,2,7,1,1,0,0
E0,25/10/2026,15:00,Manchester United FC,Chelsea,1,0,H,0,0,D,10,8,5,3,0,2,0,0
E0,31/10/2026,,Paris SG,Monaco,2,0,H,1,0,H,14,6,7,2,1,1,0,0
E0,01/11/2026,15:00,Unknown Athletic,Unknown City,0,0,D,0,0,D,2,2,1,1,0,0,0,0
